iter	Passed	Remaining
0	278	277757
1	279	139686
2	281	93479
3	282	70330
4	283	56376
5	284	47068
6	284	40410
7	285	35413
8	286	31534
9	287	28433
10	287	25892
11	288	23777
12	289	21989
13	290	20455
14	291	19128
15	292	17977
16	293	16953
17	293	16037
18	294	15220
19	295	14480
20	296	13815
21	297	13207
22	297	12651
23	298	12143
24	299	11673
25	300	11243
26	300	10840
27	301	10468
28	302	10121
29	302	9796
30	303	9494
31	304	9214
32	305	8951
33	306	8701
34	307	8464
35	307	8245
36	308	8032
37	309	7833
38	310	7642
39	311	7465
40	311	7293
41	312	7130
42	313	6974
43	314	6824
44	314	6683
45	315	6545
46	316	6415
47	317	6290
48	317	6171
49	318	6056
50	319	5944
51	320	5837
52	320	5734
53	321	5634
54	322	5538
55	323	5447
56	323	5357
57	324	5271
58	325	5188
59	326	5107
60	326	5030
61	327	4956
62	328	4884
63	329	4813
64	329	4746
65	330	4680
66	331	4615
67	332	4553
68	332	4492
69	333	4433
70	334	4375
71	335	4320
72	336	4266
73	336	4215
74	337	4163
75	338	4113
76	339	4064
77	339	4018
78	340	3971
79	341	3926
80	342	3883
81	343	3840
82	343	3794
83	344	3753
84	345	3714
85	345	3675
86	346	3636
87	347	3599
88	348	3562
89	348	3525
90	349	3490
91	350	3455
92	350	3421
93	351	3388
94	352	3355
95	352	3324
96	353	3294
97	354	3264
98	355	3234
99	356	3206
100	357	3178
101	357	3149
102	358	3121
103	359	3094
104	359	3067
105	360	3042
106	361	3016
107	362	2990
108	362	2965
109	363	2942
110	364	2918
111	365	2894
112	365	2871
113	366	2848
114	367	2825
115	367	2804
116	368	2781
117	369	2760
118	370	2741
119	373	2737
120	376	2733
121	378	2726
122	381	2716
123	382	2702
124	384	2688
125	385	2673
126	386	2655
127	387	2638
128	388	2622
129	389	2606
130	390	2591
131	391	2577
132	392	2561
133	393	2544
134	394	2528
135	395	2512
136	396	2496
137	397	2480
138	397	2464
139	398	2448
140	399	2432
141	399	2415
142	400	2400
143	401	2384
144	401	2369
145	402	2355
146	403	2341
147	404	2328
148	405	2314
149	406	2301
150	406	2287
151	407	2274
152	408	2261
153	409	2248
