iter	Passed	Remaining
0	262	261818
1	263	131563
2	265	88099
3	266	66378
4	267	53277
5	268	44524
6	269	38259
7	270	33571
8	271	29922
9	272	27009
10	273	24606
11	275	22722
12	278	21150
13	279	19705
14	280	18441
15	281	17318
16	282	16334
17	283	15476
18	285	14719
19	286	14018
20	286	13377
21	287	12794
22	288	12260
23	290	11796
24	292	11406
25	293	11006
26	295	10631
27	296	10284
28	297	9956
29	298	9652
30	299	9358
31	300	9081
32	301	8822
33	302	8589
34	303	8365
35	304	8164
36	307	8007
37	308	7816
38	310	7640
39	311	7478
40	312	7312
41	313	7153
42	314	7001
43	315	6857
44	316	6719
45	317	6584
46	318	6455
47	320	6351
48	322	6262
49	323	6149
50	324	6040
51	325	5935
52	326	5834
53	327	5736
54	328	5642
55	329	5552
56	330	5465
57	331	5380
58	332	5298
59	333	5219
60	334	5148
61	335	5078
62	336	5009
63	339	4959
64	340	4894
65	341	4831
66	342	4769
67	343	4707
68	344	4646
69	345	4586
70	346	4529
71	347	4476
72	348	4421
73	349	4374
74	350	4325
75	352	4289
76	354	4249
77	356	4210
78	357	4167
79	358	4124
80	359	4079
81	360	4034
82	360	3987
83	361	3945
84	362	3904
85	365	3880
86	366	3846
87	368	3819
88	369	3784
89	370	3748
90	371	3713
91	372	3677
92	373	3644
93	374	3610
94	375	3577
95	376	3545
96	377	3512
97	378	3485
98	379	3457
99	381	3431
100	382	3409
101	384	3382
102	385	3353
103	386	3326
104	386	3298
105	387	3270
106	388	3243
107	389	3219
108	390	3194
109	391	3169
110	392	3145
111	394	3129
112	396	3111
113	398	3096
114	400	3082
115	401	3061
116	402	3040
117	404	3020
118	405	2999
119	406	2978
120	407	2959
121	409	2945
122	410	2925
123	412	2911
124	413	2891
125	414	2873
126	415	2853
127	416	2834
128	417	2816
129	418	2800
130	419	2782
131	420	2764
132	421	2746
133	422	2728
134	423	2714
135	424	2697
136	426	2684
137	427	2671
138	428	2655
139	429	2640
140	430	2624
141	431	2607
142	432	2591
143	433	2574
144	434	2560
145	435	2546
146	436	2531
147	437	2520
148	439	2507
149	440	2497
150	442	2486
151	443	2472
152	444	2462
153	445	2448
154	446	2435
155	447	2421
156	448	2408
157	449	2395
158	450	2382
159	451	2369
160	452	2357
161	454	2351
162	456	2342
163	457	2331
164	458	2320
165	459	2309
166	460	2297
167	461	2287
168	462	2275
169	463	2264
170	464	2253
171	465	2242
172	467	2233
173	468	2223
174	469	2214
175	471	2207
176	472	2196
177	473	2186
178	474	2176
179	475	2166
180	476	2155
181	477	2145
182	478	2134
183	479	2125
184	480	2115
185	481	2105
186	484	2108
187	488	2111
188	490	2105
189	491	2095
190	492	2086
191	493	2076
192	494	2067
193	495	2058
194	496	2050
195	498	2045
196	500	2039
197	501	2032
198	502	2023
199	503	2014
200	504	2006
201	505	1997
202	506	1989
203	507	1981
204	508	1972
205	509	1964
206	511	1959
207	512	1951
208	513	1943
209	514	1935
210	515	1927
211	516	1919
212	517	1912
213	518	1904
214	519	1896
215	520	1889
216	521	1882
217	523	1878
218	525	1874
219	526	1867
220	527	1859
221	528	1852
222	529	1844
223	530	1837
224	531	1830
225	532	1823
226	533	1816
227	534	1808
228	535	1801
229	536	1796
230	538	1793
231	539	1787
232	541	1781
233	542	1775
234	543	1768
235	544	1761
236	544	1754
237	545	1747
238	546	1740
239	547	1733
240	548	1727
241	549	1720
242	550	1714
243	552	1710
244	554	1707
245	556	1704
246	557	1699
247	559	1698
